MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
INSTOR_WQX-2548,WEM040-0002,Stream,7,130,9.1,42.214285714285715,1997,1997,38.6914361111,-85.7473055555,IN
INSTOR_WQX-2549,WEM090-0001,Stream,6,44,7.7,24.116666666666667,1997,1997,38.7422222222,-85.9002777777,IN
INSTOR_WQX-2550,WEM030-0004,Stream,2,9,9,9,2000,2000,38.7702777777,-85.8225,IN
INSTOR_WQX-2551,WEM090-0002,Stream,267,62,5,17.845885393258428,1996,2018,38.7549727279,-85.9343438304,IN
INSTOR_WQX-2552,WEL150-0001,Stream,8,17,8.7,12.8375,1997,1997,38.6363888888,-86.3652777777,IN
INSTOR_WQX-2553,WEL160-0001,Stream,6,33,6.1,13.283333333333333,1997,1997,38.5847222222,-86.5591666666,IN
INSTOR_WQX-2554,WEL160-0002,Stream,6,35,4.2,14.9,1997,1997,38.5861111111,-86.6341666666,IN
INSTOR_WQX-2555,WEL160-0003,Stream,233,48,4,13.912581115879828,1997,2018,38.5381629812,-86.8046244737,IN
INSTOR_WQX-2556,WEL160-0004,Stream,7,93,2.1,24.67142857142857,1997,1997,38.5633333333,-86.6169444444,IN
INSTOR_WQX-2557,WED090-0004,Stream,253,94,12,43.25337865612648,1996,2018,39.3609228181,-85.9977559344,IN
INSTOR_WQX-2559,WED090-0006,Stream,6,64,32,44,1997,1997,39.3608333333,-85.9977777777,IN
INSTOR_WQX-2560,WED060-0001,Stream,25,64,22,31.528,1997,2006,39.7144444444,-85.8858333333,IN
INSTOR_WQX-2561,WED070-0001,Stream,7,88,45,68.14285714285714,1997,1997,39.6422222222,-85.9552777777,IN
INSTOR_WQX-2562,WED080-0001,Stream,6,49,31,39.333333333333336,1997,1997,39.5641666666,-85.9383333333,IN
INSTOR_WQX-2563,WED080-0002,Stream,9,39,19,26.333333333333332,1997,1997,39.5116666666,-85.9697222222,IN
INSTOR_WQX-2565,WED030-0002,Stream,6,23,15,19.333333333333332,1997,1997,39.5358333333,-85.7441666666,IN
INSTOR_WQX-2566,WED010-0002,Stream,6,40,24,32.333333333333336,1997,1997,39.7430555555,-85.5761111111,IN
INSTOR_WQX-2567,WED020-0001,Stream,11,39.909,19,27.400545454545455,1997,2002,39.7155598336,-85.6519744775,IN
INSTOR_WQX-2568,WED050-0001,Stream,254,72,14,38.18169330708661,1996,2018,39.3552385176,-85.983441312,IN
INSTOR_WQX-2569,WED040-0001,Stream,6,96,36,61,1997,1997,39.6866666666,-85.7738888888,IN
INSTOR_WQX-2570,WED040-0002,Stream,6,56,30,40.166666666666664,1997,1997,39.5394444444,-85.8586111111,IN
INSTOR_WQX-2571,WED030-0003,Stream,6,39,17,29.666666666666668,1997,1997,39.5288888888,-85.7777777777,IN
INSTOR_WQX-2572,WED050-0002,Stream,5,53,23,35.2,1997,1997,39.355,-85.9833333333,IN
INSTOR_WQX-2576,WED010-0003,Stream,5,67.709,35.619,46.8332,2002,2002,39.7430555555,-85.5758333333,IN
INSTOR_WQX-2577,WED010-0004,Stream,5,78.139,40.47,61.7354,2002,2002,39.8602777777,-85.4566666666,IN
INSTOR_WQX-2578,WED010-0005,Stream,262,101.3675,20,50.56152290076336,1996,2018,39.8736725739,-85.4390804027,IN
INSTOR_WQX-2579,WEF020-0002,Stream,238,126.5,12,24.134436134453782,1999,2018,39.6732765308,-85.4010912318,IN
INSTOR_WQX-2580,WEF010-0001,Stream,11,126.4,14,52.472545454545454,1997,2002,39.8066666666,-85.3583333333,IN
INSTOR_WQX-2581,WEF020-0003,Stream,6,32,14,21.333333333333332,1997,1997,39.6552777777,-85.4094444444,IN
INSTOR_WQX-2583,WEF050-0002,Stream,233,139.8,10,24.805014592274677,1999,2018,39.3632004063,-85.8563279929,IN
INSTOR_WQX-2584,WEF040-0002,Stream,11,125,14,55.41254545454545,1997,2002,39.4188888888,-85.6330555555,IN
INSTOR_WQX-2585,WEF040-0003,Stream,8,25,15,20,1997,1997,39.4202777777,-85.6775,IN
INSTOR_WQX-2586,WEF050-0003,Stream,6,24,19,21,1997,1997,39.3638888888,-85.8580555555,IN
INSTOR_WQX-2587,WEF050-0004,Stream,13,142,14,48.63607692307692,1997,2002,39.2091666666,-85.9283333333,IN
INSTOR_WQX-2588,WED100-0001,Stream,6,50,16,31,1997,1997,39.2394444444,-85.9711111111,IN
INSTOR_WQX-2590,WEU030-0007,Stream,6,77,25,46.5,1997,1997,39.2336111111,-85.5269444444,IN
INSTOR_WQX-2591,WEU030-0008,Stream,6,27,17,21,1997,1997,39.23,-85.5208333333,IN
INSTOR_WQX-2592,WEU030-0009,Stream,6,62,18,32.666666666666664,1997,1997,39.0733333333,-85.6127777777,IN
INSTOR_WQX-2593,WEU030-0010,Stream,6,26,13,18.833333333333332,1997,1997,39.0855555555,-85.71,IN
INSTOR_WQX-2594,WEU030-0011,Stream,245,128,10,28.425588979591836,1997,2018,39.068378094,-85.7987589738,IN
INSTOR_WQX-2596,WEM070-0001,Stream,259,82,5.4,18.767973745173745,1998,2018,38.9763589219,-85.6200423861,IN
INSTOR_WQX-2597,WEM050-0002,Stream,6,19,7.4,12.033333333333333,1997,1997,39.0608333333,-85.5286111111,IN
INSTOR_WQX-2598,WEM060-0001,Stream,6,9.7,4,6.866666666666666,1997,1997,38.9888888888,-85.5758333333,IN
INSTOR_WQX-2599,WEM080-0001,Stream,6,31,12,19.333333333333332,1997,1997,38.915,-85.8291666666,IN
INSTOR_WQX-2600,WEM070-0002,Stream,7,33,7.5,22.214285714285715,1997,1997,38.9836111111,-85.6138888888,IN
INSTOR_WQX-2601,WEM070-0003,Stream,6,23,10,14.666666666666666,1997,1997,38.8944444444,-85.7775,IN
INSTOR_WQX-2602,WEM100-0001,Stream,6,10,6.5,8.266666666666666,1997,1997,38.7572222222,-85.9941666666,IN
INSTOR_WQX-2603,WEM110-0001,Stream,6,33,7.9,16.6,1997,1997,38.7636111111,-86.1366666666,IN
INSTOR_WQX-2604,WEL100-0001,Stream,231,120,8,26.36347142857143,1993,2018,38.7978873163,-86.5470099683,IN
INSTOR_WQX-2606,WEL020-0001,Stream,271,23,5,10.570668634686347,1993,2018,38.7243473817,-86.4092037651,IN
INSTOR_WQX-2607,WEU050-0001,Stream,6,14,4.3,10.85,1997,1997,39.0136111111,-85.9775,IN
INSTOR_WQX-2608,WEU050-0002,Stream,9,20,4.6,12.433333333333334,1997,1997,38.9133333333,-86.0638888888,IN
INSTOR_WQX-2609,WEU060-0001,Stream,5,46,21,32.2,1997,1997,38.8911111111,-86.0663888888,IN
INSTOR_WQX-2610,WEL020-0002,Stream,6,43,9.4,24.4,1997,1997,38.77,-86.4094444444,IN
INSTOR_WQX-2611,WEL010-0001,Stream,4,33,4.2,13.825,1997,1997,38.7452777777,-86.26,IN
INSTOR_WQX-2612,WEL030-0001,Stream,6,12,5.3,8.3,1997,1997,38.7952777777,-86.2872222222,IN
INSTOR_WQX-2613,WEL030-0002,Stream,6,9.3,5.9,7.766666666666667,1997,1997,38.805,-86.4333333333,IN
INSTOR_WQX-2614,WEL040-0002,Stream,6,51,11,25.166666666666668,1997,1997,38.84,-86.4772222222,IN
INSTOR_WQX-2615,WEL090-0004,Stream,7,8.6,2.8,5.9714285714285715,1997,1997,38.9497222222,-86.4794444444,IN
INSTOR_WQX-2616,WEL100-0002,Stream,271,47,7.6,23.010929889298893,1996,2018,38.7999885624,-86.6466823572,IN
INSTOR_WQX-2617,WEL040-0003,Stream,283,50,7.8,26.13552508833922,1992,2018,38.8250318544,-86.5134813776,IN
