MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
1VTDECWQ-501279,Sacketts Brook,Stream,1,6.6,6.6,6.6,2004,2004,43.0025,-72.5328,VT
1VTDECWQ-501282,Saxtons River,Stream,1,11.5,11.5,11.5,2003,2003,43.1378,-72.4883,VT
1VTDECWQ-501283,Saxtons River,Stream,3,14.2,13.2,13.766666666666666,2008,2017,43.1406,-72.5006,VT
1VTDECWQ-501284,Saxtons River,Stream,2,14.3,12.6,13.45,2008,2012,43.1367,-72.5054,VT
1VTDECWQ-501286,Saxtons River,Stream,1,11.3,11.3,11.3,2006,2006,43.1522,-72.5622,VT
1VTDECWQ-501287,Saxtons River,Stream,3,12.3,9.56,11.353333333333333,2006,2017,43.1753,-72.6111,VT
1VTDECWQ-501288,Saxtons River,Stream,1,11.6,11.6,11.6,2008,2008,43.1991,-72.6811,VT
1VTDECWQ-501289,Leach Brook,Stream,3,3.4,2.14,2.74,2003,2017,43.1396,-72.5314,VT
1VTDECWQ-501290,Williams River,Stream,1,23.1,23.1,23.1,2004,2004,43.192,-72.4859,VT
1VTDECWQ-501291,Williams River,Stream,5,29.4,14.2,18.68,2008,2017,43.2546,-72.5735,VT
1VTDECWQ-501293,Williams River,Stream,1,14.5,14.5,14.5,2008,2008,43.2569,-72.5772,VT
1VTDECWQ-501294,Williams River,Stream,3,27,14.2,19.6,2008,2017,43.2572,-72.5771,VT
1VTDECWQ-501296,Williams River Trib 11,Stream,4,16.6,15.6,16.150000000000002,2016,2017,43.2351,-72.5406,VT
1VTDECWQ-501298,Andover Branch,Stream,2,4.11,3.2,3.6550000000000002,2003,2017,43.2842,-72.7121,VT
1VTDECWQ-501302,Black River,Stream,6,35.4,19.21,29.008333333333333,2004,2014,43.2767,-72.4636,VT
1VTDECWQ-501303,Black River,Stream,1,29,29,29,2006,2006,43.2875,-72.4708,VT
1VTDECWQ-501304,Black River,Stream,3,32.1,27.2,30.266666666666666,2004,2014,43.2917,-72.4736,VT
1VTDECWQ-501305,Black River,Stream,1,23.5,23.5,23.5,2010,2010,43.3188,-72.5062,VT
1VTDECWQ-501306,Black River,Stream,1,23.3,23.3,23.3,2010,2010,43.3285,-72.5121,VT
1VTDECWQ-501307,Black River,Stream,1,22.8,22.8,22.8,2010,2010,43.3309,-72.5159,VT
1VTDECWQ-501309,Black River,Stream,7,35.4,15.32,26.99,2004,2014,43.3873,-72.6735,VT
1VTDECWQ-501310,Black River,Stream,1,31.3,31.3,31.3,2004,2004,43.3917,-72.6764,VT
1VTDECWQ-501311,Black River,Stream,5,31.1,14.92,24.414,2004,2014,43.3934,-72.6812,VT
1VTDECWQ-501312,Black River,Stream,1,5.97,5.97,5.97,2012,2012,43.5101,-72.7275,VT
1VTDECWQ-501313,Seaver Brook,Stream,1,19.6,19.6,19.6,2004,2004,43.2789,-72.4683,VT
1VTDECWQ-501314,Seaver Brook,Stream,1,16.7,16.7,16.7,2008,2008,43.2686,-72.472,VT
1VTDECWQ-501315,Great Brook,Stream,2,14.1,4.48,9.29,2012,2012,43.3256,-72.5736,VT
1VTDECWQ-501317,Soapstone Brook Trib 3,Stream,1,27.5,27.5,27.5,2007,2007,43.3639,-72.6783,VT
1VTDECWQ-501318,Jewell Brook,Stream,1,26.4,26.4,26.4,2007,2007,43.3936,-72.7051,VT
1VTDECWQ-501319,Jewell Brook,Stream,1,21.6,21.6,21.6,2007,2007,43.3845,-72.7104,VT
1VTDECWQ-501320,Jewell Brook Trib 3,Stream,1,24.6,24.6,24.6,2007,2007,43.3828,-72.7108,VT
1VTDECWQ-501321,Okemo Brook,Stream,2,227,212,219.5,2007,2014,43.4014,-72.7069,VT
1VTDECWQ-501323,Coleman Brook,Stream,3,24.9,15.95,18.976666666666667,2007,2015,43.4215,-72.7175,VT
1VTDECWQ-501328,Patch Brook,Stream,1,6.09,6.09,6.09,2007,2007,43.4713,-72.714,VT
1VTDECWQ-501330,Mill Brook,Stream,1,6.77,6.77,6.77,2008,2008,43.4542,-72.4087,VT
1VTDECWQ-501333,Mill Brook,Stream,2,12.2,10.2,11.2,2014,2017,43.465,-72.5242,VT
1VTDECWQ-501334,Lulls Brook,Stream,1,14.8,14.8,14.8,2004,2004,43.5425,-72.4042,VT
1VTDECWQ-501335,Lulls Brook,Stream,1,11.5,11.5,11.5,2008,2008,43.5402,-72.4262,VT
1VTDECWQ-501337,Ottauquechee River,Stream,5,23.5,8.69,19.618000000000002,2010,2014,43.6473,-72.4135,VT
1VTDECWQ-501338,Ottauquechee River,Stream,3,21.7,8.1,16.433333333333334,2010,2010,43.6451,-72.4163,VT
